harness,model,variant,experiment,n_runs,composition.alternative_approaches_considered__delta,composition.alternative_approaches_considered__delta_ci,composition.alternative_approaches_considered__ratio,composition.alternative_approaches_considered__n,composition.alternatives_implemented__delta,composition.alternatives_implemented__delta_ci,composition.alternatives_implemented__ratio,composition.alternatives_implemented__n,composition.planning__delta,composition.planning__delta_ci,composition.planning__ratio,composition.planning__n,composition.hypotheses_stated__delta,composition.hypotheses_stated__delta_ci,composition.hypotheses_stated__ratio,composition.hypotheses_stated__n,composition.hypotheses_grounded__delta,composition.hypotheses_grounded__delta_ci,composition.hypotheses_grounded__ratio,composition.hypotheses_grounded__n,composition.evidence_collection__delta,composition.evidence_collection__delta_ci,composition.evidence_collection__ratio,composition.evidence_collection__n,composition.error_diagnosis__delta,composition.error_diagnosis__delta_ci,composition.error_diagnosis__ratio,composition.error_diagnosis__n,composition.self_corrections__delta,composition.self_corrections__delta_ci,composition.self_corrections__ratio,composition.self_corrections__n,composition.final_validation__delta,composition.final_validation__delta_ci,composition.final_validation__ratio,composition.final_validation__n,composition.testing_verification__delta,composition.testing_verification__delta_ci,composition.testing_verification__ratio,composition.testing_verification__n,waste.unused_branches__delta,waste.unused_branches__delta_ci,waste.unused_branches__ratio,waste.unused_branches__n,waste.task_restatements__delta,waste.task_restatements__delta_ci,waste.task_restatements__ratio,waste.task_restatements__n,waste.redundant_verification__delta,waste.redundant_verification__delta_ci,waste.redundant_verification__ratio,waste.redundant_verification__n,waste.speculative_architecture__delta,waste.speculative_architecture__delta_ci,waste.speculative_architecture__ratio,waste.speculative_architecture__n,waste.post_solution_reasoning__delta,waste.post_solution_reasoning__delta_ci,waste.post_solution_reasoning__ratio,waste.post_solution_reasoning__n,waste.planning_without_implementation__delta,waste.planning_without_implementation__delta_ci,waste.planning_without_implementation__ratio,waste.planning_without_implementation__n,quality.factual_grounding__delta,quality.factual_grounding__delta_ci,quality.factual_grounding__ratio,quality.factual_grounding__n,quality.unsupported_assumptions__delta,quality.unsupported_assumptions__delta_ci,quality.unsupported_assumptions__ratio,quality.unsupported_assumptions__n,quality.reversals_without_new_evidence__delta,quality.reversals_without_new_evidence__delta_ci,quality.reversals_without_new_evidence__ratio,quality.reversals_without_new_evidence__n,quality.task_relevance__delta,quality.task_relevance__delta_ci,quality.task_relevance__ratio,quality.task_relevance__n,quality.uncertainty_calibration__delta,quality.uncertainty_calibration__delta_ci,quality.uncertainty_calibration__ratio,quality.uncertainty_calibration__n
pi,nvidia/nemotron-3-ultra-550b-a55b,misleading_architecture,stress_pi,12,0.0,"[-0.250,0.500]",0.0,12,0.0,"[-0.250,0.000]",0.0,12,0.0,"[-1.000,0.500]",1.0,12,0.0,"[0.000,1.250]",1.0,12,0.0,"[0.000,0.750]",1.0,12,0.75,"[-0.500,1.500]",1.667,12,0.0,"[-0.500,1.000]",0.5,12,-0.25,"[-0.750,0.500]",0.0,12,0.0,"[-0.500,0.000]",1.0,12,0.0,"[-1.000,1.000]",1.0,12,0.0,"[-0.250,0.000]",0.0,12,0.0,"[-0.500,0.000]",0.0,12,0.0,"[-0.500,0.000]",0.5,12,0.0,"[0.000,0.000]",,12,0.0,"[-2.000,1.500]",0.75,12,0.0,"[-0.250,0.000]",0.0,12,0.0,"[0.000,0.750]",1.0,12,0.0,"[-0.500,0.000]",0.0,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",1.0,12,0.0,"[-0.500,1.250]",1.0,12
pi,nvidia/nemotron-3-ultra-550b-a55b,multiple_approaches,holdout_pi,40,4.0,"[3.000,4.000]",,40,1.0,"[1.000,1.000]",,40,0.0,"[-0.500,1.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,1.000]",1.0,40,1.0,"[0.000,1.000]",1.5,40,3.0,"[2.000,3.000]",,40,0.0,"[0.000,0.000]",0.0,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,0.000]",,40,1.0,"[0.000,2.000]",2.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40
pi,nvidia/nemotron-3-ultra-550b-a55b,multiple_approaches,screening_pi,32,4.0,"[3.250,4.500]",8.0,32,1.0,"[1.000,1.000]",2.0,32,0.0,"[0.000,0.750]",1.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",1.0,32,0.5,"[-0.500,1.500]",1.333,32,0.5,"[0.000,1.000]",2.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.500]",1.0,32,0.25,"[0.000,0.500]",1.1,32,3.0,"[2.000,3.500]",6.0,32,0.0,"[-0.250,0.000]",0.0,32,0.25,"[0.000,1.000]",1.0,32,0.0,"[0.000,0.000]",,32,0.0,"[-0.500,1.250]",0.75,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-0.500,0.000]",1.0,32
pi,thinkingmachines/Inkling,adjacent_cleanup,screening_pi,32,0.0,"[0.000,1.000]",1.0,32,0.0,"[0.000,0.000]",,32,1.5,"[1.000,2.000]",2.0,32,0.0,"[-0.250,0.000]",1.0,32,0.0,"[-0.500,0.000]",1.0,32,1.0,"[-0.500,1.000]",1.75,32,0.0,"[0.000,0.500]",0.833,32,0.0,"[0.000,1.000]",1.0,32,0.0,"[0.000,0.000]",1.0,32,0.5,"[0.000,1.000]",1.333,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.500]",0.25,32,0.0,"[0.000,0.000]",,32,1.0,"[0.500,1.000]",2.0,32,0.0,"[0.000,0.000]",,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,1.000]",0.0,32,0.0,"[0.000,0.000]",,32,0.0,"[-0.500,0.000]",1.0,32,0.0,"[-0.250,0.000]",1.0,32
pi,thinkingmachines/Inkling,ambiguous_scope,stress_pi,12,0.0,"[-0.250,0.000]",0.0,12,0.0,"[0.000,0.000]",,12,0.0,"[-0.750,1.000]",0.9,12,0.5,"[-0.250,1.000]",1.0,12,0.75,"[0.250,1.000]",2.0,12,0.5,"[-1.250,1.750]",1.0,12,0.75,"[-0.500,1.000]",0.667,12,0.0,"[-0.500,0.500]",0.667,12,0.0,"[-1.000,0.000]",1.0,12,-0.5,"[-1.000,0.000]",0.733,12,0.0,"[-0.250,0.000]",0.0,12,0.0,"[-0.750,0.000]",0.0,12,0.0,"[-0.750,0.000]",0.0,12,0.0,"[0.000,0.000]",,12,-0.5,"[-0.750,0.000]",0.0,12,0.0,"[0.000,0.000]",,12,0.0,"[-0.500,1.000]",1.0,12,0.0,"[0.000,0.250]",2.0,12,0.0,"[0.000,0.000]",,12,0.0,"[-0.500,0.500]",1.0,12,0.0,"[-0.750,0.000]",1.0,12
pi,thinkingmachines/Inkling,bounded_efficiency,holdout_pi,40,0.0,"[0.000,0.000]",2.0,40,0.0,"[0.000,0.000]",1.0,40,1.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,1.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[-1.000,0.000]",0.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40
pi,thinkingmachines/Inkling,bounded_efficiency,screening_pi,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",,32,0.0,"[-0.500,0.500]",1.0,32,0.0,"[-0.500,0.000]",0.333,32,0.0,"[-0.500,0.000]",0.0,32,0.0,"[-0.500,0.500]",1.0,32,0.0,"[0.000,0.000]",0.533,32,0.0,"[-0.500,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-0.500,0.000]",1.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[-0.250,0.000]",0.0,32,0.0,"[0.000,0.000]",,32,-0.25,"[-0.500,0.000]",0.0,32,0.0,"[0.000,0.000]",,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-0.500,0.000]",1.0,32
pi,thinkingmachines/Inkling,deep_thinking,screening_pi,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[0.000,0.000]",,31,0.0,"[-0.500,1.000]",1.0,31,0.0,"[0.000,0.500]",1.0,31,0.0,"[0.000,0.500]",1.0,31,0.0,"[0.000,1.000]",1.0,31,0.0,"[0.000,0.000]",0.4,31,0.0,"[-0.500,0.000]",0.0,31,0.0,"[0.000,0.000]",1.0,31,0.0,"[0.000,0.250]",1.0,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[-0.250,0.000]",0.0,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[0.000,0.000]",,31,0.0,"[-0.500,0.000]",0.0,31,0.0,"[0.000,0.000]",,31,0.0,"[0.000,0.500]",1.0,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[0.000,0.000]",,31,0.0,"[0.000,0.000]",1.0,31,0.0,"[-0.500,0.000]",1.0,31
pi,thinkingmachines/Inkling,exhaustive_exploration,screening_pi,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",,32,0.0,"[-0.500,0.500]",1.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",1.0,32,0.5,"[0.000,1.000]",1.2,32,0.0,"[0.000,0.000]",0.733,32,0.0,"[-0.250,0.000]",0.583,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,1.000]",1.5,32,0.0,"[0.000,0.000]",,32,0.0,"[-0.500,0.000]",0.5,32,0.0,"[0.000,0.000]",,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-0.500,0.000]",1.0,32
pi,thinkingmachines/Inkling,max_certainty,screening_pi,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",,32,0.25,"[-0.500,0.500]",1.333,32,0.0,"[-0.500,0.000]",1.0,32,0.0,"[-0.500,0.000]",1.0,32,0.75,"[-0.500,1.250]",1.167,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.25,32,0.0,"[0.000,0.000]",1.0,32,1.5,"[0.500,2.000]",2.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[-0.250,0.000]",0.0,32,1.0,"[0.250,1.000]",0.75,32,0.0,"[0.000,0.000]",,32,0.0,"[-0.500,0.250]",0.0,32,0.0,"[0.000,0.000]",,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-0.500,0.250]",1.0,32
pi,thinkingmachines/Inkling,misleading_architecture,stress_pi,11,1.0,"[0.000,1.500]",3.0,11,0.0,"[0.000,0.000]",,11,0.5,"[-0.500,6.000]",1.0,11,2.0,"[1.500,7.000]",4.0,11,0.5,"[0.000,1.000]",2.0,11,1.0,"[-0.500,3.000]",1.0,11,0.0,"[0.000,1.000]",1.333,11,0.0,"[0.000,1.000]",1.333,11,0.0,"[-1.000,0.000]",1.0,11,0.0,"[-0.500,1.000]",1.0,11,1.0,"[0.000,1.000]",1.0,11,0.0,"[-0.500,2.000]",0.0,11,1.0,"[-0.500,1.000]",0.0,11,1.0,"[0.000,1.000]",,11,0.0,"[-0.500,0.500]",0.0,11,0.0,"[0.000,1.000]",,11,-0.5,"[-2.000,-0.500]",0.8,11,2.0,"[1.000,3.500]",8.0,11,0.0,"[0.000,1.000]",,11,0.0,"[-2.000,0.000]",1.0,11,-0.5,"[-1.500,0.000]",0.8,11
pi,thinkingmachines/Inkling,multiple_approaches,holdout_pi,40,3.0,"[3.000,3.000]",4.0,40,1.0,"[0.500,1.000]",1.0,40,1.0,"[0.000,2.000]",2.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,1.0,"[0.500,2.000]",1.5,40,0.0,"[0.000,0.000]",0.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,1.000]",1.0,40,2.0,"[2.000,2.000]",,40,0.0,"[0.000,0.000]",,40,1.0,"[0.000,1.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,1.000]",1.0,40
pi,thinkingmachines/Inkling,multiple_approaches,screening_pi,32,3.0,"[3.000,3.500]",8.0,32,1.0,"[1.000,1.000]",,32,0.5,"[0.000,1.250]",1.55,32,-0.5,"[-0.500,0.000]",0.0,32,-0.5,"[-0.500,0.000]",0.0,32,0.0,"[-0.500,0.750]",0.7,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[-0.250,0.000]",0.25,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.500]",1.0,32,2.0,"[2.000,2.500]",6.0,32,0.0,"[-0.250,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.000]",,32,0.0,"[-0.500,0.000]",1.0,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.000]",,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-0.500,0.250]",1.0,32
pi,zai-org/GLM-5.2,adjacent_cleanup,screening_pi,31,1.0,"[0.000,1.000]",1.0,31,0.0,"[0.000,1.000]",1.0,31,1.0,"[0.000,1.500]",2.0,31,0.0,"[-1.000,0.750]",0.667,31,0.0,"[-0.500,0.750]",0.667,31,-0.5,"[-0.500,0.500]",0.8,31,0.0,"[0.000,0.000]",0.667,31,0.0,"[0.000,0.500]",0.5,31,0.0,"[0.000,0.500]",1.0,31,0.5,"[-0.500,0.750]",1.333,31,0.0,"[0.000,1.000]",0.333,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[-0.250,0.000]",0.0,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[0.000,0.500]",0.0,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[0.000,0.000]",1.0,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[0.000,0.000]",1.0,31,0.0,"[-1.000,0.250]",1.0,31
pi,zai-org/GLM-5.2,ambiguous_scope,stress_pi,12,2.0,"[1.000,2.000]",2.5,12,0.5,"[0.000,1.000]",1.0,12,1.0,"[1.000,2.000]",1.833,12,-0.25,"[-2.750,0.000]",0.833,12,-0.25,"[-1.250,0.000]",0.833,12,0.25,"[-1.000,1.500]",1.167,12,1.0,"[-0.500,1.500]",0.733,12,0.25,"[0.000,1.500]",1.75,12,-0.25,"[-0.500,0.500]",0.833,12,-0.5,"[-1.500,2.000]",0.733,12,1.0,"[0.000,1.250]",3.0,12,0.0,"[-0.750,0.000]",0.0,12,0.75,"[0.500,1.000]",2.0,12,0.0,"[-1.500,0.000]",0.0,12,-0.25,"[-1.750,0.500]",0.0,12,0.0,"[-0.500,0.000]",0.0,12,0.0,"[-1.000,0.000]",1.0,12,0.0,"[-0.750,1.000]",0.75,12,0.0,"[-0.250,2.000]",0.0,12,0.0,"[-0.500,1.000]",1.0,12,-0.25,"[-2.000,0.500]",0.9,12
pi,zai-org/GLM-5.2,bounded_efficiency,holdout_pi,40,0.0,"[0.000,0.000]",0.0,40,0.0,"[0.000,0.000]",0.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.500]",1.0,40,0.0,"[-0.500,0.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",0.0,40,0.0,"[-0.500,0.000]",0.0,40,0.0,"[0.000,0.000]",0.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",0.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40
pi,zai-org/GLM-5.2,bounded_efficiency,screening_pi,32,0.0,"[0.000,0.000]",0.6,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-1.000,0.500]",1.0,32,0.0,"[-0.750,0.000]",0.833,32,0.0,"[-0.500,0.000]",1.0,32,-0.5,"[-1.000,0.000]",0.733,32,0.0,"[0.000,0.000]",0.667,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[-0.500,0.000]",1.0,32,0.0,"[-0.500,0.500]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[-0.500,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.500]",1.0,32
pi,zai-org/GLM-5.2,deep_thinking,holdout_pi,39,0.0,"[0.000,1.000]",1.0,39,0.0,"[0.000,1.000]",1.0,39,0.0,"[0.000,1.000]",1.0,39,0.0,"[0.000,0.000]",1.0,39,0.0,"[0.000,0.000]",1.0,39,1.0,"[0.000,1.000]",1.5,39,0.0,"[0.000,0.000]",1.0,39,0.0,"[0.000,0.000]",,39,0.0,"[0.000,1.000]",1.0,39,1.0,"[0.000,1.000]",1.5,39,0.0,"[0.000,0.000]",1.0,39,0.0,"[0.000,0.000]",1.0,39,0.0,"[0.000,1.000]",1.0,39,0.0,"[0.000,0.000]",,39,0.0,"[0.000,1.000]",1.0,39,0.0,"[0.000,0.000]",,39,0.0,"[0.000,0.000]",1.0,39,0.0,"[0.000,0.000]",,39,0.0,"[0.000,0.000]",,39,0.0,"[0.000,0.000]",1.0,39,0.0,"[0.000,0.000]",1.0,39
pi,zai-org/GLM-5.2,deep_thinking,screening_pi,32,0.0,"[0.000,1.000]",1.0,32,0.0,"[0.000,0.000]",1.0,32,0.5,"[0.000,1.000]",1.167,32,0.0,"[-0.500,0.500]",1.0,32,0.0,"[-0.500,0.500]",1.0,32,0.5,"[-0.500,1.250]",1.333,32,0.0,"[0.000,0.500]",0.567,32,0.0,"[0.000,0.000]",0.0,32,0.5,"[-0.250,0.500]",1.333,32,0.75,"[0.500,1.500]",1.464,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.250]",0.5,32,0.0,"[0.000,1.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,1.000]",1.25,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[-0.250,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.250]",1.0,32
pi,zai-org/GLM-5.2,exhaustive_exploration,screening_pi,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.5,32,0.0,"[-0.500,0.250]",1.0,32,0.0,"[-0.250,0.500]",1.0,32,0.0,"[-0.500,0.500]",1.0,32,0.25,"[-0.500,0.500]",1.0,32,0.0,"[0.000,0.000]",0.667,32,0.0,"[-0.250,0.000]",0.0,32,0.0,"[-0.500,0.500]",1.0,32,0.5,"[0.250,1.000]",1.333,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.250]",1.0,32,0.0,"[0.000,0.250]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[-0.500,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.250]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-0.250,0.250]",1.0,32
pi,zai-org/GLM-5.2,max_certainty,screening_pi,31,0.0,"[0.000,1.000]",1.5,31,0.0,"[0.000,0.000]",0.5,31,1.0,"[-0.500,2.500]",2.0,31,0.0,"[-0.500,0.500]",1.0,31,0.0,"[-0.500,0.500]",1.0,31,0.0,"[-0.500,1.000]",0.955,31,0.0,"[0.000,0.000]",0.6,31,0.0,"[0.000,0.000]",0.0,31,0.5,"[-0.250,1.000]",1.333,31,1.5,"[0.500,2.000]",2.0,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[-0.250,1.000]",0.0,31,1.0,"[0.500,1.000]",2.0,31,0.0,"[0.000,0.000]",0.0,31,1.5,"[0.000,3.250]",2.5,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[0.000,0.000]",1.0,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[0.000,0.000]",1.0,31,0.0,"[-1.000,0.000]",1.0,31
pi,zai-org/GLM-5.2,misleading_architecture,stress_pi,11,1.0,"[0.000,1.000]",2.5,11,0.0,"[0.000,0.000]",1.0,11,2.0,"[-1.000,3.500]",3.0,11,0.0,"[-2.500,1.500]",1.0,11,0.0,"[-2.000,2.000]",1.0,11,1.0,"[0.000,3.500]",1.333,11,1.0,"[-0.500,1.000]",0.8,11,0.0,"[-0.500,0.500]",0.0,11,0.5,"[0.000,0.500]",1.333,11,0.5,"[0.500,1.000]",1.333,11,1.0,"[0.000,1.000]",2.0,11,0.0,"[0.000,0.000]",0.0,11,0.5,"[-0.500,1.000]",0.0,11,0.0,"[-1.500,0.000]",0.0,11,1.0,"[-2.000,2.500]",2.333,11,0.0,"[-0.500,0.000]",0.0,11,0.0,"[0.000,0.000]",1.0,11,0.0,"[-1.000,0.000]",0.0,11,0.0,"[0.000,0.000]",0.0,11,0.0,"[0.000,1.000]",1.0,11,0.0,"[0.000,0.500]",1.0,11
pi,zai-org/GLM-5.2,multiple_approaches,holdout_pi,40,3.0,"[3.000,4.000]",2.0,40,1.0,"[1.000,1.000]",1.0,40,1.0,"[0.000,2.000]",2.0,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,1.0,"[0.000,2.000]",1.5,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,1.000]",1.0,40,1.0,"[0.000,1.000]",1.5,40,3.0,"[2.000,3.000]",3.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,0.000]",,40,1.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40
pi,zai-org/GLM-5.2,multiple_approaches,screening_pi,32,3.0,"[3.000,4.000]",2.6,32,1.0,"[1.000,1.000]",1.0,32,0.5,"[0.000,1.500]",1.333,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.500]",1.0,32,0.5,"[-0.250,1.000]",1.2,32,0.25,"[0.000,1.000]",0.9,32,0.0,"[-0.500,0.000]",0.0,32,0.5,"[0.250,0.750]",1.333,32,1.0,"[0.500,1.500]",1.75,32,2.0,"[2.000,3.000]",2.667,32,0.0,"[0.000,0.000]",0.333,32,0.0,"[0.000,0.500]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,1.000]",0.833,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-0.500,0.000]",1.0,32
